data,abrangencia,pop,variavel,valor,data_formatada,lideranca
4º trimestre 2015,Brasil,Total,Pessoas de 14 anos ou mais de idade,160410.0,2015-11-01,Dilma Rousseff
4º trimestre 2015,Brasil,Homens,Pessoas de 14 anos ou mais de idade,77439.0,2015-11-01,Dilma Rousseff
4º trimestre 2015,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,82971.0,2015-11-01,Dilma Rousseff
1º trimestre 2016,Brasil,Total,Pessoas de 14 anos ou mais de idade,160845.0,2016-02-01,Dilma Rousseff
1º trimestre 2016,Brasil,Homens,Pessoas de 14 anos ou mais de idade,77648.0,2016-02-01,Dilma Rousseff
1º trimestre 2016,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,83196.0,2016-02-01,Dilma Rousseff
2º trimestre 2016,Brasil,Total,Pessoas de 14 anos ou mais de idade,161266.0,2016-05-01,Dilma Rousseff
2º trimestre 2016,Brasil,Homens,Pessoas de 14 anos ou mais de idade,77851.0,2016-05-01,Dilma Rousseff
2º trimestre 2016,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,83415.0,2016-05-01,Dilma Rousseff
3º trimestre 2016,Brasil,Total,Pessoas de 14 anos ou mais de idade,161692.0,2016-08-01,Dilma Rousseff
3º trimestre 2016,Brasil,Homens,Pessoas de 14 anos ou mais de idade,78056.0,2016-08-01,Dilma Rousseff
3º trimestre 2016,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,83636.0,2016-08-01,Dilma Rousseff
4º trimestre 2016,Brasil,Total,Pessoas de 14 anos ou mais de idade,162113.0,2016-11-01,Michel Temer
4º trimestre 2016,Brasil,Homens,Pessoas de 14 anos ou mais de idade,78258.0,2016-11-01,Michel Temer
4º trimestre 2016,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,83855.0,2016-11-01,Michel Temer
1º trimestre 2017,Brasil,Total,Pessoas de 14 anos ou mais de idade,162530.0,2017-02-01,Michel Temer
1º trimestre 2017,Brasil,Homens,Pessoas de 14 anos ou mais de idade,78458.0,2017-02-01,Michel Temer
1º trimestre 2017,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,84072.0,2017-02-01,Michel Temer
2º trimestre 2017,Brasil,Total,Pessoas de 14 anos ou mais de idade,162930.0,2017-05-01,Michel Temer
2º trimestre 2017,Brasil,Homens,Pessoas de 14 anos ou mais de idade,78650.0,2017-05-01,Michel Temer
2º trimestre 2017,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,84280.0,2017-05-01,Michel Temer
3º trimestre 2017,Brasil,Total,Pessoas de 14 anos ou mais de idade,163330.0,2017-08-01,Michel Temer
3º trimestre 2017,Brasil,Homens,Pessoas de 14 anos ou mais de idade,78843.0,2017-08-01,Michel Temer
3º trimestre 2017,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,84488.0,2017-08-01,Michel Temer
4º trimestre 2017,Brasil,Total,Pessoas de 14 anos ou mais de idade,163716.0,2017-11-01,Michel Temer
4º trimestre 2017,Brasil,Homens,Pessoas de 14 anos ou mais de idade,79028.0,2017-11-01,Michel Temer
4º trimestre 2017,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,84688.0,2017-11-01,Michel Temer
1º trimestre 2018,Brasil,Total,Pessoas de 14 anos ou mais de idade,164099.0,2018-02-01,Michel Temer
1º trimestre 2018,Brasil,Homens,Pessoas de 14 anos ou mais de idade,79212.0,2018-02-01,Michel Temer
1º trimestre 2018,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,84886.0,2018-02-01,Michel Temer
2º trimestre 2018,Brasil,Total,Pessoas de 14 anos ou mais de idade,164466.0,2018-05-01,Michel Temer
2º trimestre 2018,Brasil,Homens,Pessoas de 14 anos ou mais de idade,79389.0,2018-05-01,Michel Temer
2º trimestre 2018,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,85077.0,2018-05-01,Michel Temer
3º trimestre 2018,Brasil,Total,Pessoas de 14 anos ou mais de idade,164841.0,2018-08-01,Michel Temer
3º trimestre 2018,Brasil,Homens,Pessoas de 14 anos ou mais de idade,79570.0,2018-08-01,Michel Temer
3º trimestre 2018,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,85271.0,2018-08-01,Michel Temer
4º trimestre 2018,Brasil,Total,Pessoas de 14 anos ou mais de idade,165213.0,2018-11-01,Michel Temer
4º trimestre 2018,Brasil,Homens,Pessoas de 14 anos ou mais de idade,79749.0,2018-11-01,Michel Temer
4º trimestre 2018,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,85463.0,2018-11-01,Michel Temer
1º trimestre 2019,Brasil,Total,Pessoas de 14 anos ou mais de idade,165581.0,2019-02-01,Jair Bolsonaro
1º trimestre 2019,Brasil,Homens,Pessoas de 14 anos ou mais de idade,79927.0,2019-02-01,Jair Bolsonaro
1º trimestre 2019,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,85653.0,2019-02-01,Jair Bolsonaro
2º trimestre 2019,Brasil,Total,Pessoas de 14 anos ou mais de idade,165934.0,2019-05-01,Jair Bolsonaro
2º trimestre 2019,Brasil,Homens,Pessoas de 14 anos ou mais de idade,80098.0,2019-05-01,Jair Bolsonaro
2º trimestre 2019,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,85836.0,2019-05-01,Jair Bolsonaro
3º trimestre 2019,Brasil,Total,Pessoas de 14 anos ou mais de idade,166301.0,2019-08-01,Jair Bolsonaro
3º trimestre 2019,Brasil,Homens,Pessoas de 14 anos ou mais de idade,80274.0,2019-08-01,Jair Bolsonaro
3º trimestre 2019,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,86027.0,2019-08-01,Jair Bolsonaro
4º trimestre 2019,Brasil,Total,Pessoas de 14 anos ou mais de idade,166670.0,2019-11-01,Jair Bolsonaro
4º trimestre 2019,Brasil,Homens,Pessoas de 14 anos ou mais de idade,80448.0,2019-11-01,Jair Bolsonaro
4º trimestre 2019,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,86222.0,2019-11-01,Jair Bolsonaro
1º trimestre 2020,Brasil,Total,Pessoas de 14 anos ou mais de idade,167036.0,2020-02-01,Jair Bolsonaro
1º trimestre 2020,Brasil,Homens,Pessoas de 14 anos ou mais de idade,80621.0,2020-02-01,Jair Bolsonaro
1º trimestre 2020,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,86415.0,2020-02-01,Jair Bolsonaro
2º trimestre 2020,Brasil,Total,Pessoas de 14 anos ou mais de idade,167391.0,2020-05-01,Jair Bolsonaro
2º trimestre 2020,Brasil,Homens,Pessoas de 14 anos ou mais de idade,80789.0,2020-05-01,Jair Bolsonaro
2º trimestre 2020,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,86602.0,2020-05-01,Jair Bolsonaro
3º trimestre 2020,Brasil,Total,Pessoas de 14 anos ou mais de idade,167744.0,2020-08-01,Jair Bolsonaro
3º trimestre 2020,Brasil,Homens,Pessoas de 14 anos ou mais de idade,80953.0,2020-08-01,Jair Bolsonaro
3º trimestre 2020,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,86790.0,2020-08-01,Jair Bolsonaro
4º trimestre 2020,Brasil,Total,Pessoas de 14 anos ou mais de idade,168086.0,2020-11-01,Jair Bolsonaro
4º trimestre 2020,Brasil,Homens,Pessoas de 14 anos ou mais de idade,81110.0,2020-11-01,Jair Bolsonaro
4º trimestre 2020,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,86976.0,2020-11-01,Jair Bolsonaro
1º trimestre 2021,Brasil,Total,Pessoas de 14 anos ou mais de idade,168426.0,2021-02-01,Jair Bolsonaro
1º trimestre 2021,Brasil,Homens,Pessoas de 14 anos ou mais de idade,81265.0,2021-02-01,Jair Bolsonaro
1º trimestre 2021,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,87161.0,2021-02-01,Jair Bolsonaro
2º trimestre 2021,Brasil,Total,Pessoas de 14 anos ou mais de idade,168751.0,2021-05-01,Jair Bolsonaro
2º trimestre 2021,Brasil,Homens,Pessoas de 14 anos ou mais de idade,81413.0,2021-05-01,Jair Bolsonaro
2º trimestre 2021,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,87338.0,2021-05-01,Jair Bolsonaro
3º trimestre 2021,Brasil,Total,Pessoas de 14 anos ou mais de idade,169089.0,2021-08-01,Jair Bolsonaro
3º trimestre 2021,Brasil,Homens,Pessoas de 14 anos ou mais de idade,81568.0,2021-08-01,Jair Bolsonaro
3º trimestre 2021,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,87521.0,2021-08-01,Jair Bolsonaro
4º trimestre 2021,Brasil,Total,Pessoas de 14 anos ou mais de idade,169428.0,2021-11-01,Jair Bolsonaro
4º trimestre 2021,Brasil,Homens,Pessoas de 14 anos ou mais de idade,81724.0,2021-11-01,Jair Bolsonaro
4º trimestre 2021,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,87704.0,2021-11-01,Jair Bolsonaro
1º trimestre 2022,Brasil,Total,Pessoas de 14 anos ou mais de idade,169764.0,2022-02-01,Jair Bolsonaro
1º trimestre 2022,Brasil,Homens,Pessoas de 14 anos ou mais de idade,81878.0,2022-02-01,Jair Bolsonaro
1º trimestre 2022,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,87886.0,2022-02-01,Jair Bolsonaro
2º trimestre 2022,Brasil,Total,Pessoas de 14 anos ou mais de idade,170087.0,2022-05-01,Jair Bolsonaro
2º trimestre 2022,Brasil,Homens,Pessoas de 14 anos ou mais de idade,82026.0,2022-05-01,Jair Bolsonaro
2º trimestre 2022,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,88061.0,2022-05-01,Jair Bolsonaro
3º trimestre 2022,Brasil,Total,Pessoas de 14 anos ou mais de idade,170426.0,2022-08-01,Jair Bolsonaro
3º trimestre 2022,Brasil,Homens,Pessoas de 14 anos ou mais de idade,82184.0,2022-08-01,Jair Bolsonaro
3º trimestre 2022,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,88242.0,2022-08-01,Jair Bolsonaro
4º trimestre 2022,Brasil,Total,Pessoas de 14 anos ou mais de idade,170772.0,2022-11-01,Jair Bolsonaro
4º trimestre 2022,Brasil,Homens,Pessoas de 14 anos ou mais de idade,82348.0,2022-11-01,Jair Bolsonaro
4º trimestre 2022,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,88424.0,2022-11-01,Jair Bolsonaro
1º trimestre 2023,Brasil,Total,Pessoas de 14 anos ou mais de idade,171116.0,2023-02-01,Luiz Inácio Lula da Silva
1º trimestre 2023,Brasil,Homens,Pessoas de 14 anos ou mais de idade,82511.0,2023-02-01,Luiz Inácio Lula da Silva
1º trimestre 2023,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,88605.0,2023-02-01,Luiz Inácio Lula da Silva
2º trimestre 2023,Brasil,Total,Pessoas de 14 anos ou mais de idade,171445.0,2023-05-01,Luiz Inácio Lula da Silva
2º trimestre 2023,Brasil,Homens,Pessoas de 14 anos ou mais de idade,82667.0,2023-05-01,Luiz Inácio Lula da Silva
2º trimestre 2023,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,88778.0,2023-05-01,Luiz Inácio Lula da Silva
3º trimestre 2023,Brasil,Total,Pessoas de 14 anos ou mais de idade,171782.0,2023-08-01,Luiz Inácio Lula da Silva
3º trimestre 2023,Brasil,Homens,Pessoas de 14 anos ou mais de idade,82827.0,2023-08-01,Luiz Inácio Lula da Silva
3º trimestre 2023,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,88955.0,2023-08-01,Luiz Inácio Lula da Silva
4º trimestre 2023,Brasil,Total,Pessoas de 14 anos ou mais de idade,172115.0,2023-11-01,Luiz Inácio Lula da Silva
4º trimestre 2023,Brasil,Homens,Pessoas de 14 anos ou mais de idade,82986.0,2023-11-01,Luiz Inácio Lula da Silva
4º trimestre 2023,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,89128.0,2023-11-01,Luiz Inácio Lula da Silva
1º trimestre 2024,Brasil,Total,Pessoas de 14 anos ou mais de idade,172445.0,2024-02-01,Luiz Inácio Lula da Silva
1º trimestre 2024,Brasil,Homens,Pessoas de 14 anos ou mais de idade,83144.0,2024-02-01,Luiz Inácio Lula da Silva
1º trimestre 2024,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,89301.0,2024-02-01,Luiz Inácio Lula da Silva
2º trimestre 2024,Brasil,Total,Pessoas de 14 anos ou mais de idade,172765.0,2024-05-01,Luiz Inácio Lula da Silva
2º trimestre 2024,Brasil,Homens,Pessoas de 14 anos ou mais de idade,83297.0,2024-05-01,Luiz Inácio Lula da Silva
2º trimestre 2024,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,89467.0,2024-05-01,Luiz Inácio Lula da Silva
3º trimestre 2024,Brasil,Total,Pessoas de 14 anos ou mais de idade,173095.0,2024-08-01,Luiz Inácio Lula da Silva
3º trimestre 2024,Brasil,Homens,Pessoas de 14 anos ou mais de idade,83455.0,2024-08-01,Luiz Inácio Lula da Silva
3º trimestre 2024,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,89640.0,2024-08-01,Luiz Inácio Lula da Silva
4º trimestre 2024,Brasil,Total,Pessoas de 14 anos ou mais de idade,173430.0,2024-11-01,Luiz Inácio Lula da Silva
4º trimestre 2024,Brasil,Homens,Pessoas de 14 anos ou mais de idade,83616.0,2024-11-01,Luiz Inácio Lula da Silva
4º trimestre 2024,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,89814.0,2024-11-01,Luiz Inácio Lula da Silva
1º trimestre 2025,Brasil,Total,Pessoas de 14 anos ou mais de idade,173761.0,2025-02-01,Luiz Inácio Lula da Silva
1º trimestre 2025,Brasil,Homens,Pessoas de 14 anos ou mais de idade,83774.0,2025-02-01,Luiz Inácio Lula da Silva
1º trimestre 2025,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,89987.0,2025-02-01,Luiz Inácio Lula da Silva
2º trimestre 2025,Brasil,Total,Pessoas de 14 anos ou mais de idade,174079.0,2025-05-01,Luiz Inácio Lula da Silva
2º trimestre 2025,Brasil,Homens,Pessoas de 14 anos ou mais de idade,83927.0,2025-05-01,Luiz Inácio Lula da Silva
2º trimestre 2025,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,90152.0,2025-05-01,Luiz Inácio Lula da Silva
1º trimestre 2012,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2012-02-01,Dilma Rousseff
1º trimestre 2012,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2012-02-01,Dilma Rousseff
1º trimestre 2012,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2012-02-01,Dilma Rousseff
2º trimestre 2012,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2012-05-01,Dilma Rousseff
2º trimestre 2012,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2012-05-01,Dilma Rousseff
2º trimestre 2012,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2012-05-01,Dilma Rousseff
3º trimestre 2012,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2012-08-01,Dilma Rousseff
3º trimestre 2012,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2012-08-01,Dilma Rousseff
3º trimestre 2012,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2012-08-01,Dilma Rousseff
4º trimestre 2012,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2012-11-01,Dilma Rousseff
4º trimestre 2012,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2012-11-01,Dilma Rousseff
4º trimestre 2012,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2012-11-01,Dilma Rousseff
1º trimestre 2013,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2013-02-01,Dilma Rousseff
1º trimestre 2013,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2013-02-01,Dilma Rousseff
1º trimestre 2013,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2013-02-01,Dilma Rousseff
2º trimestre 2013,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2013-05-01,Dilma Rousseff
2º trimestre 2013,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2013-05-01,Dilma Rousseff
2º trimestre 2013,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2013-05-01,Dilma Rousseff
3º trimestre 2013,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2013-08-01,Dilma Rousseff
3º trimestre 2013,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2013-08-01,Dilma Rousseff
3º trimestre 2013,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2013-08-01,Dilma Rousseff
4º trimestre 2013,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2013-11-01,Dilma Rousseff
4º trimestre 2013,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2013-11-01,Dilma Rousseff
4º trimestre 2013,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2013-11-01,Dilma Rousseff
1º trimestre 2014,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2014-02-01,Dilma Rousseff
1º trimestre 2014,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2014-02-01,Dilma Rousseff
1º trimestre 2014,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2014-02-01,Dilma Rousseff
2º trimestre 2014,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2014-05-01,Dilma Rousseff
2º trimestre 2014,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2014-05-01,Dilma Rousseff
2º trimestre 2014,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2014-05-01,Dilma Rousseff
3º trimestre 2014,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2014-08-01,Dilma Rousseff
3º trimestre 2014,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2014-08-01,Dilma Rousseff
3º trimestre 2014,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2014-08-01,Dilma Rousseff
4º trimestre 2014,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2014-11-01,Dilma Rousseff
4º trimestre 2014,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2014-11-01,Dilma Rousseff
4º trimestre 2014,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2014-11-01,Dilma Rousseff
1º trimestre 2015,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2015-02-01,Dilma Rousseff
1º trimestre 2015,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2015-02-01,Dilma Rousseff
1º trimestre 2015,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2015-02-01,Dilma Rousseff
2º trimestre 2015,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2015-05-01,Dilma Rousseff
2º trimestre 2015,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2015-05-01,Dilma Rousseff
2º trimestre 2015,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2015-05-01,Dilma Rousseff
3º trimestre 2015,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2015-08-01,Dilma Rousseff
3º trimestre 2015,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2015-08-01,Dilma Rousseff
3º trimestre 2015,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2015-08-01,Dilma Rousseff
4º trimestre 2015,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2015-11-01,Dilma Rousseff
4º trimestre 2015,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2015-11-01,Dilma Rousseff
4º trimestre 2015,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2015-11-01,Dilma Rousseff
1º trimestre 2016,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2016-02-01,Dilma Rousseff
1º trimestre 2016,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2016-02-01,Dilma Rousseff
1º trimestre 2016,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2016-02-01,Dilma Rousseff
2º trimestre 2016,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2016-05-01,Dilma Rousseff
2º trimestre 2016,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2016-05-01,Dilma Rousseff
2º trimestre 2016,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2016-05-01,Dilma Rousseff
3º trimestre 2016,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2016-08-01,Dilma Rousseff
3º trimestre 2016,Brasil,Homens,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2016-08-01,Dilma Rousseff
3º trimestre 2016,Brasil,Mulheres,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2016-08-01,Dilma Rousseff
4º trimestre 2016,Brasil,Total,Coeficiente de variação  Pessoas de 14 anos ou mais de idade,0.0,2016-11-01,Michel Temer
